Rank,University,Size,M10,G10,P10,C40,C60,C80,USN,Scholar,ID
40, UniversityofCaliforniaSantaCruz,37,156,147,0.55,17,11,4,2.8,3.2,99
40, UniversityofRochester,19,279,183,0.59,8,6,3,3,3.2,146
46, UniversityofColoradoBoulder,57,132,116,0.48,22,8,3,3.2,3.1,103
46, UniversityofNorthCarolinaChapelHill,29,152,135,0.55,14,10,5,3.6,3.1,138
48, GeorgeMasonUniversity,46,118,116,0.47,17,10,2,2.5,3,28
48, NorthwesternUniversity,42,113,116,0.47,19,7,2,3.4,3,59
48, TempleUniversity,23,155,148,0.52,12,7,3,2.1,3,79
48, UniversityofTexasDallas,53,133,118,0.48,16,10,1,2.6,3,154
48, UniversityofUtah,52,112,115,0.47,19,11,3,3.1,3,158
48, VanderbiltUniversity,28,150,145,0.54,14,5,1,2.8,3,165
48, WashingtonUniversityinStLouis,30,125,133,0.56,13,9,6,3,3,170
55, CollegeofWilliamandMary,20,171,158,0.57,6,4,0,2.5,2.9,15
55, OhioStateUniversity,42,103,113,0.47,15,7,4,3.4,2.9,62
55, TexasAMUniversityCollegeStation,46,108,104,0.44,18,9,2,3.1,2.9,80
55, UniversityatBuffaloSUNY,43,91,94,0.42,17,11,2,2.7,2.9,85
55, VirginiaTech,53,102,101,0.43,17,9,1,3.2,2.9,167
60, ColoradoStateUniversity,27,108,125,0.49,12,6,2,2.4,2.8,17
60, DartmouthCollege,25,103,134,0.51,7,6,3,3.1,2.8,20
60, IndianaUniversityBloomington,33,101,97,0.43,14,7,2,2.9,2.8,35
60, LehighUniversity,18,142,132,0.52,7,3,2,2.1,2.8,41
60, NorthCarolinaStateUniversity,48,89,83,0.41,14,9,2,3.1,2.8,56
60, RensselaerPolytechnicInstitute,20,99,144,0.52,9,6,3,2.9,2.8,71
60, UniversityofCentralFlorida,39,82,115,0.46,11,8,4,2.3,2.8,100
60, UniversityofDelaware,29,139,135,0.5,6,4,1,2.5,2.8,107
60, UniversityofMarylandBaltimoreCounty,28,103,131,0.5,11,5,5,2.3,2.8,122
60, UniversityofNotreDame,24,114,119,0.48,11,6,3,2.8,2.8,141
70, PortlandStateUniversity,20,149,99,0.44,7,4,1,1.9,2.7,68
70, SyracuseUniversity,26,115,139,0.52,6,3,2,2.5,2.7,78
70, UniversityofFlorida,47,89,78,0.4,13,8,2,3,2.7,109
70, UniversityofTennesseeKnoxville,30,112,82,0.44,11,7,3,2.4,2.7,151
70, UniversityofTexasArlington,35,129,77,0.43,9,5,0,2.2,2.7,152
75, CUNYGraduateSchoolandUniversityCenter,99,37,44,0.27,23,12,4,2.3,2.6,9
75, NewJerseyInstituteofTechnology,34,92,69,0.37,11,5,0,2.2,2.6,51
75, UniversityofMemphis,18,97,98,0.45,6,4,1,1.7,2.6,127
75, UniversityofPittsburgh,23,99,108,0.45,7,3,0,3,2.6,145
75, WayneStateUniversity,22,106,92,0.41,9,2,1,2.1,2.6,171
80, BinghamtonUniversitySUNY,29,93,87,0.39,7,2,0,2,2.5,4
80, CaseWesternReserveUniversity,16,100,117,0.47,4,2,0,2.5,2.5,12
80, OregonStateUniversity,41,85,62,0.32,11,2,0,2.5,2.5,66
80, TuftsUniversity,22,86,96,0.41,7,3,1,2.4,2.5,83
80, UniversityofIllinoisChicago,41,80,100,0.39,6,4,2,2.6,2.5,114
80, UniversityofMissouri,30,77,71,0.36,10,4,0,2.1,2.5,131
80, UniversityofNebraskaLincoln,29,78,90,0.39,6,3,1,2.4,2.5,133
80, UniversityofSouthFlorida,27,74,84,0.39,8,5,1,2.1,2.5,148
80, EmoryUniversity,16,106,118,0.48,3,2,1,2.3,2.5,178
89, ClemsonUniversity,38,69,72,0.33,8,2,2,2.3,2.4,14
89, FloridaAtlanticUniversity,27,70,69,0.34,6,3,1,1.7,2.4,24
89, UniversityofConnecticut,26,98,80,0.36,7,1,0,2.3,2.4,106
89, UniversityofGeorgia,24,79,82,0.37,5,2,0,2.1,2.4,110
89, UniversityofHouston,26,83,73,0.34,8,2,0,2.1,2.4,112
89, UniversityofIowa,23,100,90,0.39,5,1,0,2.6,2.4,116
89, UniversityofKentucky,23,87,85,0.39,5,1,1,2.2,2.4,118
89, UniversityofMassachusettsLowell,24,93,84,0.39,6,2,0,1.7,2.4,126
89, UniversityofNewMexico,16,85,87,0.38,5,2,0,2.4,2.4,136
89, UniversityofNorthCarolinaCharlotte,24,68,64,0.34,5,4,0,2.2,2.4,139
89, UniversityofOregon,21,85,85,0.37,5,1,0,2.6,2.4,143
89, WashingtonStateUniversity,25,81,93,0.4,6,1,1,2.4,2.4,169
89, WestVirginiaUniversity,16,107,62,0.36,7,2,0,2,2.4,172
102, DrexelUniversity,14,88,72,0.35,3,2,0,2.3,2.3,22
102, FloridaInternationalUniversity,30,59,52,0.27,6,3,1,1.8,2.3,26
102, GeorgiaStateUniversity,30,57,64,0.32,7,3,0,1.9,2.3,31
102, IowaStateUniversity,29,68,74,0.33,4,2,1,2.7,2.3,36
102, OldDominionUniversity,20,85,62,0.3,4,1,0,1.8,2.3,64
102, UniversityofHawaiiManoa,21,77,69,0.35,4,3,0,1.9,2.3,111
102, UniversityofMassachusettsBoston,18,72,66,0.32,5,1,0,1.8,2.3,125
102, UniversityofSouthCarolina,27,72,74,0.33,7,1,1,2,2.3,147
102, WorcesterPolytechnicInstitute,30,61,71,0.33,7,2,0,2.3,2.3,174
111, BrandeisUniversity,18,55,36,0.33,4,3,0,2.2,2.2,6
111, ColoradoSchoolofMines,13,64,63,0.32,4,1,0,2.2,2.2,16
111, FloridaStateUniversity,27,75,59,0.32,5,1,0,2.3,2.2,27
111, IllinoisInstituteofTechnology,22,57,56,0.34,4,2,0,2.2,2.2,33
111, KansasStateUniversity,16,68,68,0.31,3,1,0,2.1,2.2,38
111, OklahomaStateUniversity,10,40,125,0.42,1,1,1,1.8,2.2,63
111, UniversityofAlabama,16,70,68,0.36,3,1,1,2,2.2,86
111, UniversityofAlabamaBirmingham,9,75,74,0.34,1,1,0,1.8,2.2,87
111, UniversityofNorthTexas,30,55,57,0.27,5,1,0,1.7,2.2,140
120, BrighamYoungUniversity,31,60,38,0.26,3,2,0,2.2,2.1,7
120, ClaremontGraduateUniversity,6,84,78,0.34,1,0,0,1.8,2.1,13
120, DePaulUniversity,56,38,44,0.23,4,2,1,1.7,2.1,21
120, KentStateUniversity,19,59,55,0.28,2,1,0,1.6,2.1,39
120, LouisianaStateUniversityBatonRouge,18,78,70,0.31,2,0,0,2.1,2.1,42
120, MissouriUniversityofScienceTechnology,14,57,62,0.32,3,1,1,2,2.1,48
120, StevensInstituteofTechnology,21,61,58,0.28,3,1,1,2.2,2.1,76
120, UniversityofArkansasFayetteville,18,59,49,0.26,3,1,0,1.7,2.1,90
120, UniversityofNevadaReno,22,59,64,0.29,2,1,0,1.7,2.1,135
120, UniversityofOklahoma,19,51,62,0.29,3,1,0,2,2.1,142
120, VirginiaCommonwealthUniversity,24,50,56,0.27,4,1,0,1.8,2.1,166
131, MississippiStateUniversity,15,58,64,0.3,2,0,0,1.8,2,47
131, NavalPostgraduateSchool,22,46,66,0.29,1,1,1,0,2,50
131, NewMexicoStateUniversity,13,67,47,0.28,2,0,0,1.8,2,53
131, NovaSoutheasternUniversity,20,77,42,0.27,2,0,0,1.2,2,60
131, OregonHealthandScienceUniversity,7,63,68,0.31,1,0,0,1.8,2,65
131, UniversityofColoradoColoradoSprings,16,36,46,0.28,2,2,0,1.8,2,104
131, UniversityofKansas,21,48,49,0.22,1,1,0,2.2,2,117
131, UniversityofLouisianaLafayette,21,63,36,0.26,1,1,0,1.8,2,119
131, UniversityofTexasSanAntonio,25,39,44,0.22,3,1,1,1.9,2,156
131, UniversityofTulsa,14,41,53,0.26,3,1,0,1.7,2,157
141, UniversityofDenver,8,52,68,0.3,1,0,0,0,1.9,108
141, UniversityofLouisville,17,32,25,0.2,3,1,0,1.9,1.9,120
141, UniversityofMaine,8,42,55,0.25,2,0,0,1.7,1.9,121
141, UniversityofMississippi,8,55,44,0.24,1,0,0,1.7,1.9,130
141, WesternMichiganUniversity,10,82,30,0.25,1,0,0,1.4,1.9,173
141, OhioUniversity,19,54,48,0.22,1,0,0,1.9,1.9,179
147, AuburnUniversity,25,31,31,0.15,3,0,0,2.2,1.8,3
147, FloridaInstituteofTechnology,32,29,23,0.14,1,1,1,1.5,1.8,25
147, SouthernMethodistUniversity,8,76,32,0.23,0,0,0,1.9,1.8,74
147, TexasTechUniversity,14,45,48,0.23,1,0,0,1.9,1.8,81
147, UniversityofCincinnati,20,36,36,0.16,1,0,0,1.9,1.8,102
147, UniversityofMissouriKansasCity,19,51,42,0.21,1,0,0,1.7,1.8,132
147, UniversityofNewOrleans,14,49,51,0.22,0,0,0,1.5,1.8,137
147, UtahStateUniversity,17,38,40,0.2,2,0,0,1.9,1.8,164
147, UniversityofVermont,8,33,51,0.26,1,0,0,1.9,1.8,187
156, NorthDakotaStateUniversity,12,37,39,0.16,0,0,0,1.6,1.7,57
156, OaklandUniversity,18,14,23,0.16,1,1,0,1.3,1.7,61
156, UniversityatAlbanySUNY,15,47,46,0.2,0,0,0,2,1.7,84
156, ClarksonUniversity,10,32,27,0.16,1,0,0,1.7,1.7,177
156, RochesterInstituteofTechnology,24,26,26,0.15,1,0,0,2.5,1.7,180
161, LouisianaTechUniversity,7,31,32,0.11,0,0,0,1.6,1.6,43
161, MichiganTechnologicalUniversity,20,29,29,0.12,0,0,0,1.7,1.6,46
161, MontanaStateUniversity,12,36,34,0.13,0,0,0,1.6,1.6,49
161, TowsonUniversity,31,19,23,0.11,1,0,0,1.5,1.6,82
161, UniversityofAlabamaHuntsville,14,36,36,0.16,0,0,0,1.7,1.6,88
161, UniversityofIdaho,13,39,32,0.14,0,0,0,1.7,1.6,113
161, UniversityofWisconsinMilwaukee,11,35,35,0.15,0,0,0,1.9,1.6,162
161, UniversityofNewHampshire,9,29,35,0.15,0,0,0,2,1.6,184
169, AirForceInstituteofTechnology,8,18,19,0.05,0,0,0,1.6,1.5,1
169, NewMexicoInstituteofMiningandTechnology,7,22,23,0.09,0,0,0,1.5,1.5,52
169, UniversityofColoradoDenver,14,12,12,0.17,1,0,0,1.7,1.5,105
169, UniversityofNebraskaOmaha,18,29,16,0.1,0,0,0,1.7,1.5,134
169, UniversityofSouthernMississippi,14,9,16,0.19,1,0,0,1.4,1.5,150
169, UniversityofWyoming,7,24,22,0.07,0,0,0,1.7,1.5,163
169, UniversityofPuertoRicoMayaguez,9,12,14,0.13,1,0,0,1.6,1.5,185
176, BowieStateUniversity,12,15,12,0.04,0,0,0,1.4,1.4,176
176, UniversityofRhodeIsland,10,17,18,0.05,0,0,0,1.9,1.4,186
178, UniversityofArkansasLittleRock,6,10,7,0.03,0,0,0,1.6,1.3,91
