full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,trim,,,,
Joohyung Lee,Lee,Joohyung,https://scholar.google.com/citations?user=WeqC_-MAAAAJ&hl=en,2642,25,52,57,Arizona State University  ,Associate,2,,*,,,,
Yann-Hang Lee,Lee,Yann-Hang,,,,,,Arizona State University  ,Full,2,,*,,,,
Baoxin Li,Li,Baoxin,https://scholar.google.com/citations?user=8OOBH04AAAAJ&hl=en,8026,46,161,117,Arizona State University  ,Full,2,,*,,,,
Jing Li,Li,Jing,https://scholar.google.com/citations?hl=en&user=VPNvwE0AAAAJ,304,9,8,8,Arizona State University  ,Associate,2,Not listed,-,,,,
Timothy Lindquist,Lindquist,Timothy,https://scholar.google.com/citations?user=26h2MnAAAAAJ&hl=en,368,8,8,8,Arizona State University  ,Full,2,Not listed,-,,,,
Huan Liu,Liu,Huan,https://scholar.google.com/citations?user=Dzf46C8AAAAJ&hl=en&oi=ao,65356,113,416,1111,Arizona State University  ,Full,2,,*,,,,
Ross Maciejewski,Maciejewski,Ross,https://scholar.google.com/citations?user=nChgOjEAAAAJ&hl=en,3748,36,81,81,Arizona State University  ,Associate,2,Assistant to Associate,*,,,,
Katina Michael,Michael,Katina,https://scholar.google.com/citations?hl=en&user=0oSenaUAAAAJ,4952,34,103,80,Arizona State University  ,Full,2,New,*,,,,
Ariane Middel,Middel,Ariane,https://scholar.google.com/citations?hl=en&user=DS2xTKMAAAAJ,2000,22,35,55,Arizona State University  ,Assistant,2,New,*,,,,
Brian Nelson,Nelson,Brian,https://scholar.google.com/citations?user=R0PhbAYAAAAJ&hl=en,3325,27,38,122,Arizona State University  ,Associate,2,Not listed,-,,,,
Sethuraman Panchanathan,Panchanathan,Sethuraman,https://scholar.google.com/citations?user=GKTKZ8kAAAAJ&hl=en&oi=ao,9305,47,172,169,Arizona State University  ,Full,2,,*,,,,
Paolo Papotti,Papotti,Paolo,https://scholar.google.com/citations?user=YwoezYX7JVgJ&hl=en,3153,30,57,72,Arizona State University  ,Assistant,2,Not listed,-,,,,
Ted Pavlic,Pavlic,Ted,https://scholar.google.com/citations?user=UAmGg-cAAAAJ,358,11,16,13,Arizona State University  ,Assistant,2,Not listed,-,,,,
Martin Reisslein,Reisslein,Martin,https://scholar.google.com/citations?hl=en&user=qZdj-uMAAAAJ,13253,56,184,260,Arizona State University  ,Full,2,New,*,,,,
Fengbo Ren,Ren,Fengbo,https://scholar.google.com/citations?user=f-wp99AAAAAJ&hl=en,1037,18,26,30,Arizona State University  ,Assistant,2,,*,,,,
Andrea Richa,Richa,Andrea,https://scholar.google.com/citations?user=1LUuMc8AAAAJ&hl=en,4545,36,60,66,Arizona State University  ,Full,2,Associate to Full,*,,,,
George Runger,Runger,George,,,,,,Arizona State University  ,Full,2,Not listed,-,,,,
Hessam Sarjoughian,Sarjoughian,Hessam,https://scholar.google.com/citations?user=2gggOEIAAAAJ&hl=en,3415,31,93,69,Arizona State University  ,Associate,2,,*,,,,
Mohamed Sarwat,Sarwat,Mohamed,https://scholar.google.com/citations?user=wLkWxZUAAAAJ&hl=en,,,,,Arizona State University  ,Assistant,2,,*,,,,
Jorge Sefair,Sefair,Jorge,https://scholar.google.com/citations?user=hQtEfQcAAAAJ&hl=en,690,10,10,11,Arizona State University  ,Assistant,2,Lecturer,-,,,,
Arunabha Sen,Sen,Arunabha,,,,,,Arizona State University  ,Full,2,,*,,,,
Paulo Shakarian,Shakarian,Paulo,https://scholar.google.com/citations?user=OUAMn6oAAAAJ&hl=en,2114,24,66,47,Arizona State University  ,Associate,2,Assistant to Associate,*,,,,
Yan Shoshitaishvili,Shoshitaishvili,Yan,https://scholar.google.com/citations?hl=en&user=ff1RkwcAAAAJ,2445,18,27,53,Arizona State University  ,Assistant,2,New,*,,,,
Aviral Shrivastava,Shrivastava,Aviral,https://scholar.google.com/citations?user=zlzK-v0AAAAJ&hl=en,2708,29,73,59,Arizona State University  ,Full,2,Associate to Full,*,,,,
Srivssta Siddharth ,Siddharth,Srivssta,https://scholar.google.com/citations?user=H3ZnCqYAAAAJ&hl=en,1364,14,19,30,Arizona State University  ,Assistant,2,,*,,,,
Sohum Sohoni,Sohoni,Sohum,https://scholar.google.com/citations?user=x851M9sAAAAJ&hl=en,416,11,11,11,Arizona State University  ,Assistant,2,Not listed,-,,,,
Violet Syrotiuk,Syrotiuk,Violet,,,,,,Arizona State University  ,Associate,2,,*,,,,
Hanghang Tong,Tong,Hanghang,https://scholar.google.com/citations?user=RaINcuUAAAAJ&hl=en,13683,51,147,300,Arizona State University  ,Assistant,2,Not listed,-,,,,
Ni Trieu,Trieu,Ni,https://scholar.google.com/citations?hl=en&user=esITaOoAAAAJ,394,9,9,9,Arizona State University  ,Assistant,2,New,*,,,,
Kurt VanLehn,VanLehn,Kurt,https://scholar.google.com/citations?user=hjYT3JYAAAAJ&hl=en&oi=ao,23744,68,194,532,Arizona State University  ,Full,2,,*,,,,
Sarma Vrudhula,Vrudhula,Sarma,https://scholar.google.com/citations?hl=en&user=2UF8gNsAAAAJ,9540,53,142,203,Arizona State University  ,Full,2,New,*,,,,
Erin Walker,Walker,Erin,https://scholar.google.com/citations?user=5P7Vo2IAAAAJ&hl=en,1301,20,34,43,Arizona State University  ,Assistant,2,Not listed,-,,,,
Ruoyu Wang,Wang,Ruoyu,https://scholar.google.com/citations?hl=en&user=pi3Z8FgAAAAJ,1836,13,15,25,Arizona State University  ,Assistant,2,New,*,,,,
Yalin Wang,Wang,Yalin,https://scholar.google.com/citations?user=F4tTgLQAAAAJ&hl=en,5806,39,105,109,Arizona State University  ,Associate,2,Assistant to Associate,*,,,,
Teresa Wu,Wu,Teresa,https://scholar.google.hk/citations?user=XJvLrVAAAAAJ&hl=zh-CN,5639,42,88,127,Arizona State University  ,Full,2,Not listed,-,,,,
Carole-Jean Wu,Wu,Carole-Jean,https://scholar.google.com/citations?user=S1szbyAAAAAJ&hl=en,1833,21,33,69,Arizona State University  ,Associate,2,Assistant to Associate,*,,,,
Guoliang Xue,Xue,Guoliang,https://scholar.google.com/citations?user=9gBvN78AAAAJ&hl=en,17555,60,205,263,Arizona State University  ,Full,2,,*,,,,
Yezhou Yang,Yang,Yezhou,https://scholar.google.com/citations?user=k2suuZgAAAAJ&hl=en,2046,22,38,45,Arizona State University  ,Assistant,2,,*,,,,
Yingzhen Yang,Yang,Yingzhen,https://scholar.google.com/citations?hl=en&user=36vh2hgAAAAJ,816,12,13,19,Arizona State University  ,Assistant,2,New,*,,,,
Sik-Sang Yau,Yau,Sik-Sang,,,,,,Arizona State University  ,Full,2,Not listed,-,,,,
Stephen S. Yau,Yau,Stephen S.,https://scholar.google.com/citations?hl=en&user=NcTfdzMAAAAJ,6524,41,99,146,Arizona State University  ,Full,2,New,*,,,,
Nong Ye,Ye,Nong,,,,,,Arizona State University  ,Full,2,Not listed,-,,,,
(Tony) Zhang Yu,Zhang,Yu,https://scholar.google.com/citations?user=n0uRPLgAAAAJ&hl=en,879,17,23,25,Arizona State University  ,Assistant,2,,*,,,,
Ming Zhao,Zhao,Ming,https://scholar.google.com/citations?user=pAcF2lEAAAAJ,2754,26,49,68,Arizona State University  ,Associate,2,,*,,,,
Hao Yan ,Yan,Hao,https://scholar.google.com/citations?user=arJVgNsAAAAJ&hl=en&oi=ao,29768,86,191,522,Arizona State University  ,Full,2,Not listed,-,,,,
Jia Zou,Zou,Jia,https://scholar.google.com/citations?hl=en&user=7Dnxbj0AAAAJ,358,10,10,10,Arizona State University  ,Assistant,2,New,*,,,,
Sanjeev Baskiyar,Baskiyar,Sanjeev,https://scholar.google.com/citations?user=SIaK8_EAAAAJ&hl=en&oi=sra,575,10,11,11,Auburn University  ,Full,3,Associate to Full,*,,,,
Debswapna Bhattacharya , Bhattacharya ,Debswapna,https://scholar.google.com/citations?user=C2oEgoYAAAAJ&hl=en&oi=ao,896,13,14,22,Auburn University  ,Assistant,3,,*,,,,
Saad Biaz,Biaz,Saad,https://scholar.google.com/citations?user=B4fHhe0AAAAJ&hl=en,2273,22,41,47,Auburn University  ,Full,3,,*,,,,
Kai Chang,Chang,Kai,,,,,,Auburn University  ,Full,3,,*,,,,
Richard Chapman,Chapman,Richard,,,,,,Auburn University  ,Associate,3,,*,,,,
James Cross,Cross,James,https://scholar.google.com/citations?user=qOHTo_oAAAAJ&hl=en,3956,16,27,27,Auburn University  ,Full,3,,*,,,,
Gerry Dozier,Dozier,Gerry,,,,,,Auburn University  ,Full,3,,*,,,,
Dean Hendrix,Hendrix,Dean,https://scholar.google.com/citations?user=DvHJWroAAAAJ&hl=en,939,18,25,27,Auburn University  ,Associate,3,,*,,,,
Shubhra (Santu) Karmaker,Karmaker,Shubhra (Santu),https://scholar.google.com/citations?hl=en&user=y6pZKT4AAAAJ,116,4,3,2,Auburn University  ,Assistant,3,New,*,,,,
Wei-Shinn (Jeff) Ku,Ku,Wei-Shinn (Jeff),https://scholar.google.com/citations?user=ZQ87sO4AAAAJ&hl=en,3171,30,68,73,Auburn University  ,Full,3,Associate to Full,*,,,,
Alvin Lim,Lim,Alvin,https://scholar.google.com/citations?user=8yA8n4sAAAAJ&hl=en,2680,18,29,42,Auburn University  ,Full,3,,*,,,,
Bo Liu,Liu,Bo,https://scholar.google.com/citations?user=8MliTo4AAAAJ&hl=en,1269,18,25,44,Auburn University  ,Assistant,3,,*,,,,
Hari Narayanan,Narayanan,Hari,,,,,,Auburn University  ,Full,3,,*,,,,
Anh Nguyen,Nguyen,Anh,https://scholar.google.com/citations?user=EQw8d9AAAAAJ&hl=en,5487,13,15,42,Auburn University  ,Assistant,3,,*,,,,
Tung Nguyen,Nguyen,Tung,https://scholar.google.com/citations?user=bpqJ-N0AAAAJ&hl=en,3403,30,43,128,Auburn University  ,Assistant,3,,*,,,,
Xiao Qin,Qin,Xiao,https://scholar.google.com/citations?user=87rCdMQAAAAJ&hl=en,8570,44,197,117,Auburn University  ,Full,3,"""Alumni Professor"" this means distinguished professor",*,,,,
Cheryl Seals,Seals,Cheryl,https://scholar.google.com/citations?user=0GdNB4AAAAAJ&hl=en,402,10,10,10,Auburn University  ,Full,3,Associate to Full,*,,,,
Tao Shu,Shu,Tao,https://scholar.google.com/citations?user=WZyghX0AAAAJ&hl=en,1423,17,27,44,Auburn University  ,Associate,3,Assistant to Associate,*,,,,
Drew Springall ,Springall,Drew,https://scholar.google.com/citations?hl=en&user=ddRjfYYAAAAJ,917,5,5,0,Auburn University  ,Assistant,3,New,*,,,,
Daniel Tauritz ,Tauritz,Daniel,https://scholar.google.com/citations?hl=en&user=OevegY8AAAAJ,885,18,32,23,Auburn University  ,Associate,3,New,*,,,,
Jakita Thomas,Thomas,Jakita,https://scholar.google.com/citations?hl=en&user=9D7AmmEAAAAJ,265,9,8,8,Auburn University  ,Associate,3,,*,,,,
David Umphress,Umphress,David,https://scholar.google.com/citations?user=adnNt1IAAAAJ&hl=en,1058,14,19,20,Auburn University  ,Full,3,,*,,,,
Mark Yampolskiy ,Yampolskiy,Mark,https://scholar.google.com/citations?hl=en&user=gyQyEEwAAAAJ,981,17,27,35,Auburn University  ,Associate,3,New,*,,,,
Levent Yilmaz,Yilmaz,Levent,https://scholar.google.com/citations?user=uPBKJewAAAAJ&hl=en,3638,26,113,53,Auburn University  ,Full,3,"""Alumni Professor""",*,,,,
Yang Zhou,Zhou,Yang,https://scholar.google.com/citations?user=yvE8Po0AAAAJ&hl=en&oi=ao,4275,33,65,99,Auburn University  ,Assistant,3,,*,,,,
"Blackburn, Jeremy",Blackburn,Jeremy,https://scholar.google.com/citations?hl=en&user=oO1GPO8AAAAJ,3097,28,45,108,Binghamton University - SUNY  ,Assistant,4,New,*,,,,
"Chiu, Kenneth",Chiu,Kenneth,,,,,,Binghamton University - SUNY  ,Associate,4,,*,,,,
"Cutler, Michal",Cutler,Michal,,,,,,Binghamton University - SUNY  ,Associate,4,Not listed,-,,,,
"Dai, Weiying",Dai,Weiying,https://scholar.google.com/citations?user=r6DIjzUAAAAJ&hl=en,2815,22,30,52,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Ghose, Kanad",Ghose,Kanad,https://scholar.google.com/citations?user=3itxM90AAAAJ&hl=en,5122,35,90,101,Binghamton University - SUNY  ,Full,4,,*,,,,
"Gopalan, Kartik",Gopalan,Kartik,https://scholar.google.com/citations?user=gSnisPkAAAAJ&hl=en,4950,32,55,60,Binghamton University - SUNY  ,Full,4,,*,,,,
"Govindaraju, Madhusudhan",Govindaraju,Madhusudhan,https://scholar.google.com/citations?user=cuA3CkgAAAAJ&hl=en,3459,29,57,85,Binghamton University - SUNY  ,Full,4,,*,,,,
"Kang, Kyoung-Don",Kang,Kyoung-Don,https://scholar.google.com/citations?user=5Qrq3p0AAAAJ&hl=en,2010,22,45,55,Binghamton University - SUNY  ,Full,4,,*,,,,
"Lander, Leslie",Lander,Leslie,,,,,,Binghamton University - SUNY  ,Associate,4,"""Graduate Director""",*,,,,
"Lewis, Michael J.",Lewis,Michael J.,,,,,,Binghamton University - SUNY  ,Associate,4,,*,,,,
"Liu, Yu (David)",Liu,David,https://scholar.google.com/citations?user=_KCqeIEAAAAJ&hl=en,1000,17,21,33,Binghamton University - SUNY  ,Full,4,Associate to Full,*,,,,
"Liu, Yao",Liu,Yao,https://scholar.google.com/citations?user=Ej57xEgAAAAJ&hl=en,,,,,Binghamton University - SUNY  ,Associate,4,Assistant to Associate,*,,,,
"Lu, Hui",Lu,Hui,https://scholar.google.com/citations?hl=en&user=UidAu3IAAAAJ,348,8,8,5,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Madden, Patrick H.",Madden,Patrick H.,https://scholar.google.com/citations?user=QwRhC2oAAAAJ&hl=en,2022,21,28,93,Binghamton University - SUNY  ,Associate,4,,*,,,,
"Meng, Weiyi",Meng,Weiyi,https://scholar.google.com/citations?user=C-wDOskAAAAJ&hl=en,8828,46,92,286,Binghamton University - SUNY  ,Full,4,,*,,,,
"Miller, Timothy Normand",Miller,Timothy Normand,https://scholar.google.com/citations?user=NgEPEgEAAAAJ&hl=en,320,8,7,5,Binghamton University - SUNY  ,Assistant,4,Not listed,-,,,,
"Naghibijouybari, Hoda",Naghibijouybari,Hoda,https://scholar.google.com/citations?hl=en&user=TEymGjQAAAAJ,120,5,4,0,Binghamton University - SUNY  ,Assistant,4,New,*,,,,
"Ponomarev, Dmitry",Ponomarev,Dmitry,https://scholar.google.com/citations?user=zr9OzAUAAAAJ&hl=en,3289,31,67,83,Binghamton University - SUNY  ,Full,4,,*,,,,
"Prakash, Aravind",Prakash,Aravind,https://scholar.google.com/citations?user=GqFjHVAAAAAJ&hl=en,557,13,13,21,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Ramesh, Arti",Ramesh,Arti,https://scholar.google.com/citations?user=XjWqmtMAAAAJ&hl=en,556,8,6,5,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Seetharam, Anand",Seetharam,Anand,https://scholar.google.com/citations?user=gA5qFUYAAAAJ&hl=en,711,14,16,21,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Sha, Mo",Sha,Mo,https://scholar.google.com/citations?user=hVZiQDQAAAAJ&hl=en,1698,22,28,54,Binghamton University - SUNY  ,Assistant,4,,*,,,,
"Shin, Seunghee",Shin,Seunghee,https://scholar.google.com/citations?hl=en&user=wpGg2O4AAAAJ,149,4,3,0,Binghamton University - SUNY  ,Assistant,4,New,*,,,,
"Sikdar, Sujoy",Sikdar,Sujoy,https://scholar.google.com/citations?hl=en&user=OmZaKTEAAAAJ,212,8,8,6,Binghamton University - SUNY  ,Assistant,4,New,*,,,,
"Wang, Yan",Wang,Yan,https://scholar.google.com/citations?user=7n96g-MAAAAJ&hl=en,2931,22,29,96,Binghamton University - SUNY  ,Assistant,4,Not listed,-,,,,
"Yan, Guanhua",Yan,Guanhua,https://scholar.google.com/citations?user=6rPWxsgAAAAJ&hl=en,2974,32,44,96,Binghamton University - SUNY  ,Associate,4,Assistant to Associate,*,,,,
"Yang, Ping",Yang,Ping,,,,,,Binghamton University - SUNY  ,Associate,4,,*,,,,
"Yin, Lijun",Yin,Lijun,https://scholar.google.com/citations?user=PYV9NvYAAAAJ&hl=en,6958,37,74,162,Binghamton University - SUNY  ,Full,4,,*,,,,
"Yu, Lei",Yu,Lei,https://scholar.google.com/citations?user=bRCoY7EAAAAJ&hl=en,10063,19,24,139,Binghamton University - SUNY  ,Associate,4,,*,,,,
"Zhang, Shiqi",Zhang,Shiqi,https://scholar.google.com/citations?hl=en&user=D0pzuNoAAAAJ,778,14,17,21,Binghamton University - SUNY  ,Assistant,4,New,*,,,,
"Zhang, Yifan",Zhang,Yifan,https://scholar.google.com/citations?user=Mi5cKMkAAAAJ&hl=en,617,13,13,18,Binghamton University - SUNY  ,Associate,4,Assistant to Associate,*,,,,
"Zhang, Zhongfei (Mark)",Zhang,Zhongfei (Mark),https://scholar.google.com/citations?user=RM7y-rcAAAAJ&hl=en,24587,45,641,172,Binghamton University - SUNY  ,Full,4,,*,,,,
Jonathan Appavoo,Appavoo,Jonathan,https://scholar.google.com/citations?user=Z1Kl2REAAAAJ&hl=en&oi=ao,2864,23,35,70,Boston University  ,Associate,5,,*,,,,
Manos Athanassoulis,Athanassoulis,Manos,https://scholar.google.com/citations?hl=en&user=RyXHY68AAAAJ,1069,19,22,39,Boston University  ,Assistant,5,New,*,,,,
Gary Benson,Benson,Gary,https://scholar.google.com/citations?hl=en&user=E0GO0JkAAAAJ,9494,30,51,121,Boston University  ,Associate,5,New,*,,,,
Azer Bestavros,Bestavros,Azer,https://scholar.google.com/citations?user=S5B0QmMAAAAJ&hl=en&oi=ao,22388,65,157,409,Boston University  ,Full,5,,*,,,,
Margrit Betke,Betke,Margrit,https://scholar.google.com/citations?user=tu39-p8AAAAJ&hl=en&oi=ao,9137,45,102,220,Boston University  ,Full,5,,*,,,,
Mark Bun,Bun,Mark,https://scholar.google.com/citations?hl=en&user=oDwLyYUAAAAJ,1184,17,20,34,Boston University  ,Assistant,5,New,*,,,,
John Byers,Byers,John,https://scholar.google.com/citations?user=jIp_uw0AAAAJ&hl=en&oi=ao,14646,45,69,391,Boston University  ,Full,5,,*,,,,
Ran Canetti,Canetti,Ran,https://scholar.google.com/citations?user=-PWcE1YAAAAJ&hl=en&oi=ao,39137,79,186,982,Boston University  ,Full,5,,*,,,,
Ed Chien,Chien,Ed,https://scholar.google.com/citations?hl=en&user=YZ1HFYIAAAAJ,203,7,7,4,Boston University  ,Assistant,5,New,*,,,,
Mark Crovella,Crovella,Mark,https://scholar.google.com/citations?user=vrHhOlUAAAAJ&hl=en&oi=ao,29966,71,122,736,Boston University  ,Full,5,,*,,,,
Alina Ene,Ene,Alina,https://scholar.google.com/citations?user=v1_kfR8AAAAJ,1447,19,33,41,Boston University  ,Assistant,5,,*,,,,
Marco Gaboardi,Gaboardi,Marco,https://scholar.google.com/citations?hl=en&user=5b8D1MgAAAAJ,2185,27,45,62,Boston University  ,Assistant,5,New,*,,,,
Peter Gacs,Gacs,Peter,https://scholar.google.com/citations?user=vNCcKo0AAAAJ&hl=en&oi=ao,4208,26,35,136,Boston University  ,Full,5,,*,,,,
Sharon Goldberg,Goldberg,Sharon,https://scholar.google.com/citations?user=lJ8qjPAAAAAJ&hl=en&oi=ao,2993,27,39,100,Boston University  ,Associate,5,,*,,,,
Steven Homer,Homer,Steven,https://scholar.google.com/citations?user=7vK1GRIAAAAJ&hl=en&oi=sra,1261,21,33,35,Boston University  ,Full,5,,*,,,,
Vasiliki Kalavri,Kalavri,Vasiliki ,https://scholar.google.com/citations?hl=en&user=8VMnu5IAAAAJ,349,11,12,14,Boston University  ,Assistant,5,New,*,,,,
Assaf Kfoury,Kfoury,Assaf,https://scholar.google.com/citations?user=VpdYemsAAAAJ&hl=en&oi=ao,3381,25,51,88,Boston University  ,Full,5,,*,,,,
George Kollios,Kollios,George,https://scholar.google.com/citations?user=0VFi-vAAAAAJ&hl=en&oi=ao,10388,47,71,248,Boston University  ,Full,5,,*,,,,
Leonid Levin,Levin,Leonid,https://scholar.google.com/citations?user=qe_J1w4AAAAJ&hl=en,11545,29,39,412,Boston University  ,Full,5,,*,,,,
Renato Mancuso,Mancuso ,Renato,https://scholar.google.com/citations?user=gDkEWtYAAAAJ&hl=en&oi=ao,1128,14,20,24,Boston University  ,Assistant,5,,*,,,,
Abrahim Matta,Matta,Abrahim,https://scholar.google.com/citations?user=_mj1-BQAAAAJ&hl=en&oi=ao,9747,39,100,145,Boston University  ,Full,5,,*,,,,
Lorenzo Orecchia,Orecchia,Lorenzo,https://scholar.google.com/citations?user=dT7yOrwAAAAJ&hl=en&oi=ao,1675,18,24,52,Boston University  ,Assistant,5,Adjunct Assistant Professor,-,,,,
Bryan Plummer,Plummer,Bryan,https://scholar.google.com/citations?hl=en&user=Rv8E-_cAAAAJ,1757,15,17,51,Boston University  ,Assistant,5,New,*,,,,
Sofya Raskhodniknova ,Raskhodniknova,Sofya,https://scholar.google.com/citations?user=VdBfGdoAAAAJ&hl=en,3748,21,36,96,Boston University  ,Full,5,,*,,,,
